dt,xi_x,xi_y,xi_z,dot_xi_x,dot_xi_y,dot_xi_z
0.01,-0.0729371,-0.0729489,3.76281,3.08269,3.08242,12.3597
0.01,-0.0727512,-0.0727626,3.76625,3.09588,3.09563,12.1574
0.01,-0.072488,-0.0724989,3.76964,3.10903,3.10878,11.9583
0.01,-0.0721472,-0.0721576,3.77298,3.12181,3.12157,11.7624
0.01,-0.0717292,-0.0717391,3.77627,3.13385,3.13363,11.5696
0.01,-0.071235,-0.0712444,3.77951,3.14482,3.14458,11.3799
0.01,-0.0706661,-0.070675,3.78269,3.15437,3.15415,11.1933
0.01,-0.0700244,-0.0700328,3.78583,3.16226,3.16203,11.0096
0.01,-0.069312,-0.0693199,3.78893,3.16815,3.16795,10.8288
0.01,-0.068532,-0.0685393,3.79197,3.17191,3.17167,10.6509
0.01,-0.0676872,-0.0676941,3.79497,3.17325,3.17303,10.4758
0.01,-0.0667812,-0.0667876,3.79792,3.17202,3.17181,10.3035
0.01,-0.0658175,-0.0658236,3.80083,3.16804,3.16783,10.1338
0.01,-0.0648003,-0.0648059,3.80369,3.16122,3.16101,9.9668
0.01,-0.0637337,-0.063739,3.80651,3.15143,3.15122,9.80235
0.01,-0.0626222,-0.062627,3.80929,3.13862,3.13839,9.6405
0.01,-0.0614703,-0.0614747,3.81202,3.12272,3.12248,9.4812
0.01,-0.0602826,-0.0602867,3.81471,3.10372,3.10349,9.32428
0.01,-0.0590638,-0.0590677,3.81735,3.0816,3.08139,9.16982
0.01,-0.0578189,-0.0578223,3.81996,3.05644,3.05619,9.01779
0.01,-0.0565524,-0.0565557,3.82252,3.0282,3.02796,8.86804
0.01,-0.0552695,-0.0552723,3.82504,2.99701,2.99676,8.72065
0.01,-0.0539747,-0.053977,3.82752,2.96292,2.96264,8.57551
0.01,-0.0526726,-0.0526746,3.82996,2.92604,2.92576,8.43265
0.01,-0.051368,-0.0513695,3.83237,2.88652,2.88623,8.29204
0.01,-0.0500651,-0.0500663,3.83473,2.84445,2.84414,8.15365
0.01,-0.0487684,-0.0487692,3.83705,2.80001,2.79969,8.01742
0.01,-0.0474819,-0.0474825,3.83934,2.75333,2.75303,7.88332
0.01,-0.0462096,-0.0462101,3.84159,2.7046,2.70429,7.75134
0.01,-0.0449554,-0.0449556,3.8438,2.65401,2.65369,7.62146
0.01,-0.0437227,-0.0437225,3.84598,2.60173,2.6014,7.49366
0.01,-0.0425147,-0.0425144,3.84812,2.54796,2.54764,7.3678
0.01,-0.0413344,-0.0413341,3.85022,2.4929,2.49256,7.24409
0.01,-0.040185,-0.0401843,3.85229,2.43673,2.43637,7.12236
0.01,-0.0390685,-0.0390678,3.85432,2.37967,2.37931,7.00259
0.01,-0.0379876,-0.0379866,3.85632,2.32193,2.32155,6.88479
0.01,-0.0369441,-0.0369428,3.85828,2.26366,2.26329,6.76896
0.01,-0.0359396,-0.0359383,3.86022,2.20511,2.20473,6.65494
0.01,-0.0349758,-0.0349742,3.86212,2.14648,2.14609,6.5428
0.01,-0.0340537,-0.0340521,3.86398,2.08799,2.0876,6.43262
0.01,-0.0331741,-0.0331725,3.86582,2.02975,2.02936,6.32423
0.01,-0.0323377,-0.0323362,3.86762,1.97198,1.97158,6.2177
0.01,-0.0315451,-0.0315433,3.86939,1.91483,1.91444,6.11296
0.01,-0.0307961,-0.0307941,3.87114,1.85846,1.85804,6.00991
0.01,-0.0300908,-0.0300888,3.87285,1.80301,1.8026,5.90865
0.01,-0.0294287,-0.0294267,3.87453,1.74866,1.74825,5.80906
0.01,-0.0288094,-0.0288074,3.87619,1.69552,1.69511,5.71124
0.01,-0.028232,-0.0282301,3.87782,1.64378,1.64337,5.615
0.01,-0.0276957,-0.0276938,3.87942,1.59349,1.59308,5.52048
0.01,-0.0271993,-0.0271974,3.88099,1.54477,1.54436,5.4274
0.01,-0.0267414,-0.0267396,3.88253,1.4977,1.49729,5.33601
0.01,-0.0263205,-0.0263187,3.88405,1.45236,1.45195,5.2462
0.01,-0.0259348,-0.0259334,3.88555,1.40872,1.40833,5.15788
0.01,-0.0255832,-0.0255817,3.88702,1.36696,1.36657,5.07112
0.01,-0.0252635,-0.0252621,3.88846,1.32709,1.32669,4.98581
0.01,-0.0249738,-0.0249724,3.88988,1.28916,1.28876,4.90191
0.01,-0.024712,-0.0247106,3.89127,1.25315,1.25275,4.81943
0.01,-0.0244763,-0.024475,3.89264,1.21908,1.2187,4.73832
0.01,-0.0242645,-0.0242631,3.89399,1.18698,1.1866,4.65868
0.01,-0.0240744,-0.024073,3.89532,1.15681,1.15642,4.58036
0.01,-0.0239037,-0.0239026,3.89662,1.12858,1.12821,4.50335
0.01,-0.0237507,-0.0237495,3.8979,1.10222,1.10186,4.42768
0.01,-0.0236129,-0.0236116,3.89916,1.07767,1.07731,4.35329
0.01,-0.0234881,-0.0234871,3.9004,1.05493,1.05459,4.28018
0.01,-0.0233744,-0.0233736,3.90162,1.03393,1.03359,4.20824
0.01,-0.0232699,-0.023269,3.90282,1.01463,1.0143,4.13756
0.01,-0.0231725,-0.0231716,3.90399,0.99694,0.99661,4.06807
0.01,-0.0230803,-0.0230793,3.90515,0.980813,0.980485,3.99971
0.01,-0.0229913,-0.0229902,3.90629,0.966147,0.965821,3.93253
0.01,-0.0229037,-0.0229028,3.90741,0.952838,0.952536,3.86655
0.01,-0.0228161,-0.0228153,3.90851,0.940825,0.940535,3.80162
0.01,-0.0227268,-0.0227261,3.90959,0.930051,0.929773,3.73781
0.01,-0.0226342,-0.0226337,3.91065,0.920391,0.920115,3.67503
0.01,-0.0225373,-0.0225368,3.9117,0.911755,0.91149,3.61334
0.01,-0.0224346,-0.0224342,3.91273,0.904049,0.903794,3.55268
0.01,-0.022325,-0.0223247,3.91374,0.897199,0.896952,3.49303
0.01,-0.0222074,-0.0222072,3.91473,0.891073,0.89083,3.43447
0.01,-0.0220811,-0.0220809,3.91571,0.885541,0.885306,3.37685
0.01,-0.0219455,-0.0219451,3.91667,0.880571,0.880336,3.32019
0.01,-0.0217996,-0.0217993,3.91762,0.876113,0.875895,3.26446
0.01,-0.021643,-0.0216427,3.91855,0.872015,0.871802,3.20973
0.01,-0.0214753,-0.021475,3.91946,0.868179,0.867971,3.15586
0.01,-0.0212962,-0.0212959,3.92036,0.864624,0.864427,3.10298
0.01,-0.0211055,-0.021105,3.92125,0.861205,0.861002,3.05087
0.01,-0.020903,-0.0209025,3.92212,0.857845,0.857657,2.99969
0.01,-0.0206888,-0.0206881,3.92297,0.854446,0.85425,2.94937
0.01,-0.0204629,-0.0204621,3.92381,0.851017,0.850835,2.89996
0.01,-0.0202255,-0.0202246,3.92464,0.847424,0.847251,2.85134
0.01,-0.0199771,-0.019976,3.92545,0.843628,0.843452,2.80352
0.01,-0.019718,-0.0197168,3.92625,0.83958,0.839413,2.75648
0.01,-0.0194484,-0.0194472,3.92704,0.835258,0.835093,2.71028
0.01,-0.019169,-0.0191678,3.92781,0.83059,0.830431,2.66482
0.01,-0.0188804,-0.0188791,3.92857,0.825544,0.825387,2.62006
0.01,-0.0185834,-0.0185818,3.92932,0.820107,0.819937,2.57616
0.01,-0.0182783,-0.0182766,3.93005,0.81425,0.81409,2.53294
0.01,-0.0179659,-0.0179642,3.93078,0.807905,0.807749,2.49039
0.01,-0.0176474,-0.0176456,3.93149,0.801122,0.800965,2.44866
0.01,-0.0173231,-0.0173213,3.93219,0.793906,0.793752,2.40746
0.01,-0.0169941,-0.016992,3.93288,0.786247,0.786077,2.36698
0.01,-0.016661,-0.0166588,3.93355,0.778064,0.777897,2.32731
0.01,-0.0163245,-0.0163223,3.93422,0.769386,0.769227,2.28813
0.01,-0.0159859,-0.0159834,3.93487,0.760259,0.760087,2.24983
0.01,-0.0156456,-0.015643,3.93551,0.750561,0.750391,2.21201
0.01,-0.0153048,-0.0153022,3.93614,0.740455,0.740285,2.1749
0.01,-0.0149642,-0.0149616,3.93677,0.729954,0.729785,2.13833
0.01,-0.0146247,-0.0146218,3.93738,0.718987,0.718805,2.10237
0.01,-0.0142868,-0.0142839,3.93798,0.707585,0.707406,2.06703
0.01,-0.0139517,-0.0139488,3.93857,0.695872,0.69569,2.03231
0.01,-0.01362,-0.013617,3.93915,0.683758,0.683576,1.9981
0.01,-0.0132923,-0.0132893,3.93972,0.671297,0.671114,1.96451
0.01,-0.0129695,-0.0129665,3.94028,0.658613,0.658424,1.9315
0.01,-0.012652,-0.012649,3.94083,0.645702,0.645514,1.899
0.01,-0.0123403,-0.0123373,3.94138,0.632563,0.63237,1.86701
0.01,-0.0120352,-0.0120322,3.94191,0.619186,0.618992,1.83559
0.01,-0.0117372,-0.0117342,3.94243,0.605645,0.605448,1.80469
0.01,-0.0114466,-0.0114437,3.94295,0.591941,0.591744,1.77424
0.01,-0.011164,-0.0111611,3.94346,0.578185,0.577987,1.74439
0.01,-0.0108899,-0.0108869,3.94395,0.5644,0.564201,1.71507
0.01,-0.0106243,-0.0106214,3.94444,0.550669,0.550466,1.68625
0.01,-0.0103674,-0.0103645,3.94493,0.536875,0.53667,1.65784
0.01,-0.0101196,-0.0101169,3.9454,0.523233,0.523043,1.62997
0.01,-0.00988105,-0.00987837,3.94587,0.509521,0.509321,1.60246
0.01,-0.00965204,-0.00964937,3.94633,0.495906,0.495705,1.57537
0.01,-0.00943258,-0.00943017,3.94677,0.482561,0.482373,1.54891
0.01,-0.00922269,-0.00922029,3.94722,0.469384,0.469186,1.52276
0.01,-0.00902225,-0.00901986,3.94765,0.456443,0.456246,1.49717
0.01,-0.00883112,-0.00882874,3.94808,0.443749,0.443552,1.47191
0.01,-0.00864922,-0.00864685,3.9485,0.431435,0.431238,1.44711
0.01,-0.00847619,-0.00847383,3.94891,0.419341,0.419144,1.42281
0.01,-0.0083121,-0.00830974,3.94932,0.407579,0.407385,1.39882
0.01,-0.00815668,-0.00815432,3.94972,0.39615,0.395957,1.37527
0.01,-0.0080095,-0.00800738,3.95011,0.385186,0.38501,1.35216
0.01,-0.00787004,-0.00786815,3.9505,0.37454,0.37437,1.32937
0.01,-0.00773846,-0.00773657,3.95088,0.36434,0.364162,1.30704
0.01,-0.00761388,-0.00761221,3.95125,0.354376,0.354211,1.28494
0.01,-0.00749655,-0.00749486,3.95162,0.344788,0.344617,1.26332
0.01,-0.00738592,-0.00738421,3.95198,0.335566,0.335394,1.24205
0.01,-0.00728172,-0.00727998,3.95233,0.326879,0.326712,1.2211
0.01,-0.0071831,-0.00718156,3.95268,0.318553,0.318401,1.20064
0.01,-0.00708992,-0.00708858,3.95302,0.31053,0.310387,1.1804
0.01,-0.00700206,-0.00700067,3.95336,0.302969,0.302818,1.16054
0.01,-0.0069188,-0.00691736,3.95369,0.295871,0.295722,1.14109
0.01,-0.00683948,-0.00683822,3.95402,0.289019,0.288885,1.12191
0.01,-0.00676438,-0.00676305,3.95434,0.282566,0.282428,1.10301
0.01,-0.00669267,-0.00669127,3.95465,0.276489,0.276349,1.08438
0.01,-0.00662404,-0.00662257,3.95496,0.270783,0.270648,1.06611
0.01,-0.006558,-0.00655668,3.95527,0.265423,0.265302,1.04822
0.01,-0.00649432,-0.00649291,3.95556,0.260389,0.260264,1.03063
0.01,-0.00643258,-0.00643109,3.95586,0.255436,0.255312,1.01337
0.01,-0.00637284,-0.00637149,3.95615,0.250699,0.250588,0.996319
0.01,-0.00631497,-0.00631352,3.95643,0.24642,0.246305,0.979509
0.01,-0.00625818,-0.00625663,3.95671,0.24243,0.242312,0.963092
