domega_x,domega_y,domega_z,omega_x,omega_y,omega_z,dq_w,dq_x,dq_y,dq_z,q_w,q_x,q_y,q_z,dt
-5.4745,7.12373,0.0174274,-1.16799,0.905516,-0.0478389,0.129842,-0.576136,0.444764,0.00243614,0.9851,0.111477,-0.130911,0.00367582,0.01
-4.65852,6.51606,0.0285108,-1.21458,0.970677,-0.0475538,0.131322,-0.599568,0.477688,0.00197385,0.986383,0.105478,-0.12613,0.00369545,0.01
-3.82578,5.87494,0.0383914,-1.25283,1.02943,-0.0471699,0.131081,-0.61896,0.507531,0.00145525,0.987662,0.0992854,-0.121051,0.00370988,0.01
-2.98513,5.20824,0.0473094,-1.28269,1.08151,-0.0466968,0.129221,-0.63425,0.534143,0.00088577,0.988919,0.0929397,-0.115705,0.0037186,0.01
-2.14398,4.52227,0.055365,-1.30413,1.12673,-0.0461432,0.125873,-0.645412,0.557403,0.000272229,0.990141,0.0864823,-0.110127,0.00372119,0.01
-1.31105,3.8261,0.0628981,-1.31724,1.16499,-0.0455142,0.121192,-0.652463,0.577236,-0.000376552,0.991314,0.0799546,-0.104351,0.00371728,0.01
-0.492278,3.12466,0.0699544,-1.32216,1.19624,-0.0448147,0.115354,-0.655452,0.59359,-0.0010509,0.992429,0.0733972,-0.0984111,0.00370662,0.01
0.30527,2.42534,0.0767533,-1.31911,1.22049,-0.0440471,0.108546,-0.654465,0.606454,-0.00173984,0.993474,0.0668498,-0.0923428,0.00368907,0.01
1.07564,1.73394,0.0833761,-1.30835,1.23783,-0.0432134,0.100964,-0.649617,0.615846,-0.00243176,0.994443,0.0603512,-0.0861808,0.00366461,0.01
1.81452,1.05642,0.0901573,-1.2902,1.2484,-0.0423118,0.0928041,-0.641053,0.621817,-0.00311398,0.995331,0.0539385,-0.0799595,0.00363332,0.01
2.51434,0.395656,0.0963991,-1.26506,1.25235,-0.0413478,0.0842616,-0.628955,0.624436,-0.00377558,0.996134,0.047647,-0.0737122,0.00359542,0.01
3.17473,-0.241003,0.103153,-1.23331,1.24994,-0.0403163,0.0755223,-0.613512,0.623812,-0.00440313,0.996851,0.0415103,-0.0674715,0.00355125,0.01
3.79244,-0.852753,0.110035,-1.19539,1.24141,-0.0392159,0.0667602,-0.594931,0.620061,-0.00498466,0.997482,0.0355597,-0.0612686,0.00350128,0.01
4.36351,-1.43621,0.116889,-1.15175,1.22705,-0.038047,0.0581345,-0.573444,0.613321,-0.00550926,0.998028,0.0298242,-0.0551334,0.00344606,0.01
4.8854,-1.98811,0.123709,-1.1029,1.20717,-0.0368099,0.0497877,-0.549297,0.603747,-0.00596682,0.998492,0.0243304,-0.0490943,0.00338628,0.01
5.35857,-2.5079,0.1306,-1.04931,1.18209,-0.0355039,0.0418422,-0.522736,0.5915,-0.00634794,0.998879,0.0191025,-0.0431779,0.0033227,0.01
5.78015,-2.99311,0.137342,-0.991513,1.15216,-0.0341305,0.0344009,-0.494023,0.576756,-0.00664496,0.999194,0.0141618,-0.0374093,0.00325615,0.01
6.15084,-3.4436,0.143961,-0.930004,1.11773,-0.0326909,0.0275452,-0.463419,0.559695,-0.0068514,0.999443,0.00952737,-0.0318115,0.00318756,0.01
6.46963,-3.85821,0.150311,-0.865308,1.07914,-0.0311878,0.0213363,-0.431189,0.540502,-0.00696255,0.999633,0.00521535,-0.0264059,0.00311786,0.01
6.73653,-4.23665,0.156291,-0.797943,1.03678,-0.0296249,0.0158154,-0.3976,0.519365,-0.00697541,0.99977,0.00123933,-0.0212117,0.00304804,0.01
6.95204,-4.5787,0.161822,-0.728422,0.99099,-0.0280067,0.0110044,-0.362914,0.496474,-0.00688864,0.999861,-0.00238977,-0.0162467,0.00297909,0.01
7.11637,-4.88408,0.166772,-0.657259,0.942149,-0.026339,0.0069073,-0.327394,0.472019,-0.00670274,0.999913,-0.00566362,-0.0115263,0.00291202,0.01
7.23047,-5.15337,0.171028,-0.584954,0.890616,-0.0246287,0.00351214,-0.291297,0.446191,-0.00642004,0.999934,-0.00857646,-0.00706432,0.00284778,0.01
7.29555,-5.38685,0.174503,-0.511998,0.836747,-0.0228837,0.000792539,-0.254872,0.419173,-0.00604445,0.99993,-0.011125,-0.00287255,0.0027873,0.01
7.3125,-5.58453,0.177067,-0.438873,0.780902,-0.021113,-0.00129023,-0.218363,0.391153,-0.00558163,0.999907,-0.0133085,0.00103896,0.00273146,0.01
7.28228,-5.74657,0.178602,-0.366051,0.723436,-0.019327,-0.00278522,-0.18201,0.362313,-0.00503881,0.999871,-0.0151285,0.00466206,0.00268105,0.01
7.20728,-5.87432,0.179044,-0.293978,0.664693,-0.0175365,-0.00374963,-0.146038,0.33283,-0.0044245,0.999827,-0.0165888,0.00799031,0.00263678,0.01
