p_x,p_y,p_z,dp_x,dp_y,dp_z,ddp_x,ddp_y,ddp_z,dt
0.936081,0.936081,3.820313,0.201372,0.201372,0.853841,-0.449869,-0.449869,7.937079,0.010000
0.938029,0.938029,3.829065,0.196966,0.196966,0.835322,-0.440599,-0.440599,7.958102,0.010000
0.939934,0.939934,3.837634,0.192651,0.192651,0.817014,-0.431417,-0.431417,7.979214,0.010000
0.941797,0.941797,3.846023,0.188428,0.188428,0.798918,-0.422331,-0.422331,8.000406,0.010000
0.943619,0.943619,3.854234,0.184295,0.184295,0.781035,-0.413349,-0.413349,8.021663,0.010000
0.945401,0.945401,3.862270,0.180250,0.180250,0.763365,-0.404477,-0.404477,8.042973,0.010000
0.947145,0.947145,3.870132,0.176293,0.176293,0.745908,-0.395722,-0.395722,8.064331,0.010000
0.948849,0.948849,3.877823,0.172422,0.172422,0.728665,-0.387089,-0.387089,8.085723,0.010000
0.950517,0.950517,3.885345,0.168636,0.168636,0.711637,-0.378585,-0.378585,8.107141,0.010000
0.952148,0.952148,3.892700,0.164934,0.164934,0.694822,-0.370214,-0.370214,8.128576,0.010000
0.953743,0.953743,3.899889,0.161314,0.161314,0.678223,-0.361981,-0.361981,8.150019,0.010000
0.955303,0.955303,3.906916,0.157775,0.157775,0.661837,-0.353890,-0.353890,8.171456,0.010000
0.956829,0.956829,3.913783,0.154316,0.154316,0.645666,-0.345945,-0.345945,8.192887,0.010000
0.958321,0.958321,3.920491,0.150934,0.150934,0.629709,-0.338150,-0.338150,8.214300,0.010000
0.959781,0.959781,3.927042,0.147629,0.147629,0.613966,-0.330508,-0.330508,8.235691,0.010000
0.961209,0.961209,3.933439,0.144399,0.144399,0.598436,-0.323021,-0.323021,8.257043,0.010000
0.962605,0.962605,3.939684,0.141242,0.141242,0.583120,-0.315692,-0.315692,8.278358,0.010000
0.963971,0.963971,3.945780,0.138157,0.138157,0.568016,-0.308522,-0.308522,8.299625,0.010000
0.965308,0.965308,3.951727,0.135142,0.135142,0.553125,-0.301512,-0.301512,8.320838,0.010000
0.966615,0.966615,3.957528,0.132195,0.132195,0.538444,-0.294666,-0.294666,8.341989,0.010000
0.967894,0.967894,3.963186,0.129315,0.129315,0.523975,-0.287982,-0.287982,8.363078,0.010000
0.969145,0.969145,3.968703,0.126500,0.126500,0.509716,-0.281461,-0.281461,8.384091,0.010000
0.970368,0.970368,3.974079,0.123749,0.123749,0.495666,-0.275105,-0.275105,8.405031,0.010000
0.971566,0.971566,3.979319,0.121060,0.121060,0.481825,-0.268911,-0.268911,8.425882,0.010000
0.972737,0.972737,3.984423,0.118432,0.118432,0.468192,-0.262881,-0.262881,8.446645,0.010000
0.973883,0.973883,3.989394,0.115861,0.115861,0.454765,-0.257012,-0.257012,8.467315,0.010000
0.975003,0.975003,3.994234,0.113348,0.113348,0.441544,-0.251304,-0.251304,8.487885,0.010000
0.976100,0.976100,3.998945,0.110891,0.110891,0.428527,-0.245756,-0.245756,8.508352,0.010000
0.977173,0.977173,4.003528,0.108487,0.108487,0.415714,-0.240366,-0.240366,8.528710,0.010000
0.978222,0.978222,4.007987,0.106136,0.106136,0.403104,-0.235133,-0.235133,8.548955,0.010000
0.979249,0.979249,4.012322,0.103835,0.103835,0.390695,-0.230054,-0.230054,8.569086,0.010000
0.980254,0.980254,4.016536,0.101584,0.101584,0.378486,-0.225126,-0.225126,8.589092,0.010000
0.981237,0.981237,4.020631,0.099381,0.099381,0.366475,-0.220347,-0.220347,8.608973,0.010000
0.982198,0.982198,4.024610,0.097223,0.097223,0.354663,-0.215716,-0.215716,8.628728,0.010000
0.983139,0.983139,4.028472,0.095111,0.095111,0.343046,-0.211228,-0.211228,8.648347,0.010000
0.984059,0.984059,4.032222,0.093042,0.093042,0.331624,-0.206882,-0.206882,8.667833,0.010000
0.984959,0.984959,4.035861,0.091016,0.091016,0.320396,-0.202673,-0.202673,8.687176,0.010000
0.985839,0.985839,4.039390,0.089030,0.089030,0.309360,-0.198600,-0.198600,8.706381,0.010000
0.986700,0.986700,4.042811,0.087083,0.087083,0.298514,-0.194657,-0.194657,8.725437,0.010000
0.987542,0.987542,4.046127,0.085175,0.085175,0.287858,-0.190843,-0.190843,8.744347,0.010000
0.988366,0.988366,4.049339,0.083303,0.083303,0.277389,-0.187151,-0.187151,8.763104,0.010000
0.989172,0.989172,4.052449,0.081467,0.081467,0.267106,-0.183581,-0.183581,8.781710,0.010000
0.989959,0.989959,4.055459,0.079666,0.079666,0.257008,-0.180127,-0.180127,8.800162,0.010000
0.990729,0.990729,4.058371,0.077898,0.077898,0.247092,-0.176786,-0.176786,8.818451,0.010000
0.991482,0.991482,4.061186,0.076163,0.076163,0.237358,-0.173555,-0.173555,8.836580,0.010000
0.992218,0.992218,4.063907,0.074458,0.074458,0.227803,-0.170431,-0.170431,8.854548,0.010000
0.992938,0.992938,4.066535,0.072784,0.072784,0.218427,-0.167407,-0.167407,8.872350,0.010000
0.993641,0.993641,4.069072,0.071139,0.071139,0.209227,-0.164482,-0.164482,8.889987,0.010000
0.994328,0.994328,4.071519,0.069523,0.069523,0.200201,-0.161651,-0.161651,8.907454,0.010000
0.995000,0.995000,4.073879,0.067934,0.067934,0.191349,-0.158908,-0.158908,8.924750,0.010000
