dt,xi_x,xi_y,xi_z,dot_xi_x,dot_xi_y,dot_xi_z
0.01,0.00125555,-0.00125865,-1.38816e-06,-0.012409,0.0124343,1.38375e-05
0.01,0.00113446,-0.00113729,-1.253e-06,-0.0121091,0.0121356,1.35154e-05
0.01,0.00102069,-0.00102326,-1.12601e-06,-0.0113771,0.011403,1.26995e-05
0.01,0.000914734,-0.000917052,-1.00772e-06,-0.0105958,0.0106208,1.18287e-05
0.01,0.000816312,-0.000818466,-8.98023e-07,-0.0098422,0.00985864,1.09701e-05
0.01,0.000719622,-0.000721626,-7.9022e-07,-0.00966896,0.00968398,1.07803e-05
0.01,0.000634437,-0.000636305,-6.95334e-07,-0.00851856,0.00853208,9.48862e-06
0.01,0.000556611,-0.000558353,-6.08651e-07,-0.00778261,0.00779516,8.66826e-06
0.01,0.00048505,-0.000486675,-5.28957e-07,-0.00715603,0.00716781,7.96943e-06
0.01,0.000419275,-0.000420787,-4.55718e-07,-0.00657757,0.00658888,7.32389e-06
0.01,0.000364518,-0.000365933,-3.94856e-07,-0.00547561,0.00548533,6.08619e-06
0.01,0.000321346,-0.00032268,-3.46976e-07,-0.0043172,0.00432529,4.78801e-06
0.01,0.000278105,-0.000279352,-2.98922e-07,-0.00432412,0.00433279,4.80542e-06
0.01,0.000238256,-0.000239349,-2.54534e-07,-0.00398492,0.00400031,4.4388e-06
0.01,0.000213667,-0.000214691,-2.27456e-07,-0.00245888,0.0024658,2.7078e-06
0.01,0.000194566,-0.00019554,-2.06489e-07,-0.00191016,0.00191515,2.09661e-06
0.01,0.000173053,-0.000173968,-1.82752e-07,-0.00215128,0.00215718,2.37374e-06
0.01,0.000165224,-0.000166108,-1.74465e-07,-0.000782851,0.000786021,8.2869e-07
0.01,0.00016192,-0.000162706,-1.71043e-07,-0.00033047,0.00034015,3.4223e-07
0.01,0.000167139,-0.000167905,-1.77342e-07,0.000521911,-0.000519847,-6.29942e-07
0.01,0.000169371,-0.000170049,-1.80072e-07,0.000223179,-0.000214456,-2.73003e-07
0.01,0.000184688,-0.000185364,-1.9772e-07,0.0015317,-0.00153146,-1.76479e-06
0.01,0.000203538,-0.00020423,-2.19297e-07,0.00188506,-0.00188661,-2.15771e-06
0.01,0.00022402,-0.000224664,-2.42534e-07,0.00204823,-0.00204336,-2.32372e-06
0.01,0.000245636,-0.00024629,-2.67167e-07,0.00216156,-0.00216262,-2.46329e-06
0.01,0.000274711,-0.000275402,-3.00237e-07,0.0029075,-0.00291126,-3.30698e-06
