p_x,p_y,p_z,dp_x_prime,dp_y_prime,dp_z_prime,dp_x,dp_y,dp_z,ddp_x,ddp_y,ddp_z,w_hat_x,w_hat_y,w_hat_z
0.517272,0.517303,2.11434,0.755029,0.755065,2.75602,0.769384,0.769408,2.78785,-1.43554,-1.43431,-3.18314,-0.12908,-0.128374,-0.150356
0.524822,0.524853,2.1419,0.739745,0.739755,2.728,0.755029,0.755065,2.75602,-1.52835,-1.53097,-2.80193,-0.182854,-0.183711,0.00998914
0.532219,0.532251,2.16918,0.727015,0.727047,2.6957,0.739745,0.739755,2.728,-1.27306,-1.27076,-3.23056,-0.09617,-0.0950384,-0.158915
0.53949,0.539521,2.19614,0.711126,0.711145,2.66725,0.727015,0.727047,2.6957,-1.58889,-1.59024,-2.84517,-0.241217,-0.241567,0.00068526
0.546601,0.546633,2.22281,0.698906,0.69893,2.63468,0.711126,0.711145,2.66725,-1.22203,-1.22147,-3.25624,-0.110106,-0.10968,-0.163361
0.55359,0.553622,2.24916,0.683279,0.683297,2.60595,0.698906,0.69893,2.63468,-1.56268,-1.56332,-2.87344,-0.265767,-0.265831,-0.00688159
0.560423,0.560455,2.27522,0.669151,0.669175,2.5733,0.683279,0.683297,2.60595,-1.4128,-1.41226,-3.26473,-0.222906,-0.222495,-0.16481
0.567114,0.567147,2.30095,0.654792,0.654799,2.54445,0.669151,0.669175,2.5733,-1.43583,-1.4376,-2.8848,-0.250126,-0.250648,-0.0112137
0.573662,0.573695,2.32639,0.642252,0.642279,2.51185,0.654792,0.654799,2.54445,-1.25402,-1.25193,-3.26061,-0.194342,-0.193306,-0.164433
0.580085,0.580117,2.35151,0.627493,0.627502,2.48306,0.642252,0.642279,2.51185,-1.47589,-1.47772,-2.87894,-0.301928,-0.302486,-0.0115303
0.58636,0.586392,2.37634,0.61633,0.616347,2.45058,0.627493,0.627502,2.48306,-1.1163,-1.11549,-3.24759,-0.17382,-0.173308,-0.163096
0.592523,0.592556,2.40085,0.601645,0.601657,2.422,0.61633,0.616347,2.45058,-1.46852,-1.46904,-2.85784,-0.333713,-0.333742,-0.00802986
0.598539,0.598572,2.42507,0.591152,0.591164,2.38973,0.601645,0.601657,2.422,-1.04937,-1.04926,-3.22772,-0.180839,-0.180618,-0.161074
0.604451,0.604484,2.44896,0.577066,0.577076,2.36147,0.591152,0.591164,2.38973,-1.40856,-1.40885,-2.82518,-0.342765,-0.342708,-0.00169611
