q_x,q_y,q_z,dq_x,dq_y,dq_z,omega_x,omega_y,omega_z,domega_x,domega_y,domega_z,w_hat_x,w_hat_y,w_hat_z
0.0421294,0.042129,6.16263e-09,-1.0842e-05,3.55566e-06,6.00057e-07,-1.07955e-05,3.45117e-06,5.93718e-07,-4.65468e-06,1.0449e-05,6.33935e-07,-9.02776e-09,2.14315e-08,2.53873e-09
0.0421291,0.0421288,6.41999e-09,-2.75587e-05,-1.26251e-05,6.27043e-07,-2.52332e-05,-1.04203e-05,6.21352e-07,-0.00023255,-0.000220478,5.69108e-07,-4.95178e-07,-4.7171e-07,2.65649e-09
0.042129,0.0421287,6.7175e-09,-2.66189e-05,-1.09106e-05,6.5922e-07,-2.60319e-05,-1.0468e-05,6.53017e-07,-5.86995e-05,-4.426e-05,6.20322e-07,-1.25613e-07,-9.6724e-08,2.57498e-09
0.0421286,0.0421285,6.86564e-09,-4.20349e-05,-2.58546e-05,6.75452e-07,-3.97216e-05,-2.36511e-05,6.71293e-07,-0.000231333,-0.00022035,4.1584e-07,-4.92962e-07,-4.71687e-07,2.04689e-09
0.0421284,0.0421283,7.13649e-09,-4.17173e-05,-2.47812e-05,7.0762e-07,-4.10478e-05,-2.42501e-05,7.01887e-07,-6.69511e-05,-5.31097e-05,5.73246e-07,-1.43241e-07,-1.15593e-07,2.39868e-09
0.0421282,0.0421282,7.40493e-09,-4.29691e-05,-2.53088e-05,7.38252e-07,-4.25886e-05,-2.50711e-05,7.32248e-07,-3.80523e-05,-2.37685e-05,6.00419e-07,-8.06453e-08,-5.19763e-08,2.4599e-09
0.0421277,0.0421279,7.32791e-09,-6.11127e-05,-4.35116e-05,7.30964e-07,-5.84866e-05,-4.09215e-05,7.30125e-07,-0.000262601,-0.000259009,8.3954e-08,-5.59978e-07,-5.53699e-07,7.79806e-10
0.0421274,0.0421276,7.55715e-09,-6.13134e-05,-4.29578e-05,7.63371e-07,-6.04759e-05,-4.22358e-05,7.58623e-07,-8.37468e-05,-7.22016e-05,4.74779e-07,-1.79381e-07,-1.56458e-07,2.02905e-09
0.0421271,0.0421274,7.77533e-09,-6.32294e-05,-4.42143e-05,7.91333e-07,-6.27052e-05,-4.38168e-05,7.86003e-07,-5.24275e-05,-3.97482e-05,5.32963e-07,-1.11497e-07,-8.61251e-08,2.21391e-09
0.0421267,0.0421271,7.9833e-09,-6.56708e-05,-4.60329e-05,8.17642e-07,-6.51713e-05,-4.56586e-05,8.12359e-07,-4.99538e-05,-3.74295e-05,5.28212e-07,-1.06048e-07,-8.09723e-08,2.19174e-09
0.0421264,0.0421269,8.17241e-09,-6.83048e-05,-4.80964e-05,8.41773e-07,-6.77865e-05,-4.76956e-05,8.36806e-07,-5.18396e-05,-4.0086e-05,4.9664e-07,-1.10103e-07,-8.65857e-08,2.06933e-09
